,Date,Open,High,Low,Close,Volume
,"Jun 14, 2022","1,200.23","1,200.43","1,177.74","1,184.58","173,187,805"
,"Jun 15, 2022","1,191.15","1,194.96","1,173.72","1,186.75","134,549,117"
,"Jun 16, 2022","1,167.07","1,169.13","1,148.35","1,151.43","128,107,797"
,"Jun 17, 2022","1,155.64","1,163.08","1,140.00","1,148.51","300,585,080"
,"Jun 20, 2022","1,151.26","1,164.84","1,151.26","1,164.55","59,963,551"
,"Jun 21, 2022","1,167.41","1,175.41","1,166.97","1,168.07","153,525,992"
,"Jun 22, 2022","1,150.73","1,163.67","1,146.23","1,155.42","138,396,922"
,"Jun 23, 2022","1,157.43","1,159.58","1,136.68","1,138.99","142,585,010"
,"Jun 24, 2022","1,145.79","1,160.14","1,145.53","1,158.26","125,957,839"
,"Jun 27, 2022","1,164.26","1,171.68","1,158.16","1,169.53","160,161,981"
,"Jun 28, 2022","1,178.34","1,184.23","1,163.40","1,166.40","131,397,316"
,"Jun 29, 2022","1,169.13","1,169.59","1,155.87","1,160.09","97,039,296"
,"Jun 30, 2022","1,145.91","1,148.73","1,135.69","1,146.43","130,641,619"
,"Jul 4, 2022","1,151.10","1,162.43","1,150.86","1,155.67","50,532,717"
,"Jul 5, 2022","1,148.12","1,150.45","1,128.05","1,147.46","173,019,242"
,"Jul 6, 2022","1,145.28","1,148.96","1,131.27","1,140.84","155,718,188"
,"Jul 7, 2022","1,148.28","1,159.47","1,148.28","1,157.81","123,618,685"
,"Jul 8, 2022","1,157.39","1,159.77","1,148.37","1,155.66","88,698,438"
,"Jul 11, 2022","1,149.29","1,152.32","1,142.32","1,144.27","123,494,622"
,"Jul 12, 2022","1,138.20","1,143.72","1,132.08","1,135.97","111,192,952"
,"Jul 13, 2022","1,126.62","1,136.46","1,118.15","1,131.71","108,472,904"
,"Jul 14, 2022","1,122.73","1,123.89","1,104.88","1,112.40","194,307,346"
,"Jul 15, 2022","1,122.27","1,122.67","1,112.30","1,116.13","106,017,158"
,"Jul 18, 2022","1,127.12","1,134.61","1,123.56","1,125.57","151,584,813"
,"Jul 19, 2022","1,132.72","1,146.57","1,132.35","1,145.84","113,013,481"
,"Jul 20, 2022","1,144.29","1,152.26","1,140.45","1,150.07","89,844,477"
,"Jul 21, 2022","1,146.42","1,153.46","1,141.89","1,153.43","104,437,064"
,"Jul 22, 2022","1,154.51","1,157.51","1,144.45","1,149.48","80,753,254"
,"Jul 25, 2022","1,150.48","1,157.81","1,148.98","1,156.35","116,464,874"
,"Jul 26, 2022","1,152.93","1,155.92","1,145.46","1,148.60","104,610,695"
,"Jul 27, 2022","1,153.60","1,169.80","1,153.60","1,165.43","118,493,604"
,"Jul 28, 2022","1,170.45","1,176.60","1,159.80","1,175.35","121,530,813"
,"Jul 29, 2022","1,179.96","1,190.95","1,179.96","1,187.97","116,780,958"
