Date,Open,High,Low,Close
07/22/2019,"985.04","987.59","985.42","986.83"
07/19/2019,"987.57","989.84","984.09","984.15"
07/18/2019,"983.23","986.21","982.17","985.07"
07/17/2019,"986.19","988.45","983.82","984.45"
07/16/2019,"986.27","987.59","983.95","986.62"
07/15/2019,"986.62","987.97","984.42","986.66"
07/12/2019,"989.17","989.34","985.24","986.02"
07/11/2019,"990.94","991.52","988.73","989.48"
07/10/2019,"992.34","997.38","988.40","990.76"
07/09/2019,"982.80","991.27","982.31","991.27"
07/08/2019,"986.83","986.99","984.38","985.05"
07/05/2019,"989.58","990.21","985.50","989.73"
07/04/2019,"992.13","993.58","990.82","992.84"
07/03/2019,"986.31","992.63","985.86","992.46"
07/02/2019,"986.39","985.93","980.83","985.45"
06/28/2019,"976.11","979.60","974.52","979.60"
06/27/2019,"974.00","975.85","972.74","975.06"
06/26/2019,"978.84","980.52","974.36","974.89"
06/25/2019,"986.89","987.47","978.66","978.66"
06/24/2019,"989.01","990.21","987.69","988.24"
06/21/2019,"990.79","991.45","987.63","988.75"
06/20/2019,"993.69","993.87","989.49","992.05"
06/19/2019,"988.44","989.80","987.85","988.79"
06/18/2019,"984.13","989.83","984.92","988.16"
06/17/2019,"976.44","979.71","975.51","979.17"
06/14/2019,"972.16","978.30","969.06","976.82"
06/13/2019,"975.17","975.12","970.86","972.55"
06/12/2019,"972.09","974.40","970.90","972.90"
06/11/2019,"977.26","977.94","972.87","974.13"
06/10/2019,"975.50","975.30","971.62","972.46"
06/07/2019,"973.17","976.48","972.65","973.47"
06/06/2019,"972.41","974.63","970.23","973.09"
06/05/2019,"971.96","973.51","966.66","972.50"
06/04/2019,"963.68","968.48","960.30","968.48"
06/03/2019,"962.13","966.40","956.20","959.59"
05/31/2019,"959.52","962.56","957.58","961.89"
05/30/2019,"968.64","969.66","963.76","965.62"
05/29/2019,"972.04","973.28","966.27","968.29"
05/28/2019,"978.91","981.14","975.94","978.08"
05/27/2019,"974.58","980.63","974.50","980.60"
05/24/2019,"972.54","975.11","970.40","973.60"
05/23/2019,"971.56","972.35","965.35","969.43"
05/22/2019,"980.13","980.02","976.99","978.70"
05/21/2019,"980.61","984.35","980.08","984.35"
05/17/2019,"981.76","986.31","980.89","982.76"
05/16/2019,"980.05","986.83","979.04","985.52"
05/15/2019,"971.97","978.74","971.23","977.28"
05/14/2019,"970.90","977.38","970.26","974.85"
05/13/2019,"970.11","970.43","965.29","969.92"
05/10/2019,"978.72","981.56","967.54","978.05"
05/09/2019,"981.17","983.93","976.19","979.94"
05/08/2019,"982.98","989.05","982.10","985.67"
05/07/2019,"983.91","986.08","980.68","983.30"
05/06/2019,"980.67","991.52","981.03","991.44"
05/03/2019,"989.38","991.72","987.04","991.58"
05/02/2019,"989.83","990.89","985.51","986.02"
05/01/2019,"994.34","996.25","989.96","990.49"
04/30/2019,"994.33","996.73","991.93","994.53"
04/29/2019,"994.58","998.18","994.69","995.73"
04/26/2019,"993.00","995.88","989.75","995.88"
04/25/2019,"992.92","994.80","989.80","993.71"
04/24/2019,"997.72","999.31","992.79","993.71"
04/23/2019,"994.04","1,000.28","993.32","999.97"
04/22/2019,"994.79","995.37","991.66","993.16"
04/18/2019,"991.14","995.57","991.24","995.29"
04/17/2019,"990.26","991.49","987.97","990.61"
04/16/2019,"989.24","990.47","987.94","988.51"
04/15/2019,"983.28","989.09","982.74","987.92"
04/12/2019,"983.73","985.08","981.52","984.66"
04/11/2019,"977.84","983.44","978.40","979.13"
04/10/2019,"976.24","978.34","975.77","977.48"
04/09/2019,"974.19","975.22","971.80","974.43"
04/08/2019,"976.36","978.82","973.73","978.82"
04/05/2019,"974.73","978.21","973.98","978.21"
04/04/2019,"971.14","973.45","969.79","973.45"
04/03/2019,"972.84","975.04","969.47","971.66"
04/02/2019,"969.07","970.43","965.92","970.43"
04/01/2019,"964.93","967.69","962.35","967.69"
03/29/2019,"967.31","967.18","958.21","959.50"
03/28/2019,"958.73","964.77","959.36","963.84"
03/27/2019,"961.04","964.15","957.29","960.90"
03/26/2019,"960.98","964.96","959.40","961.89"
